Date,K,Bid,Ask,Type
05/03/19,200,68.5,69.9,c
05/03/19,210,59.25,60.5,c
05/03/19,220,50,51.35,c
05/03/19,230,41.45,42.65,c
05/03/19,240,33.9,34.4,c
05/03/19,250,26.7,27.15,c
05/03/19,260,20.35,20.75,c
05/03/19,270,14.95,15.35,c
05/03/19,280,10.55,10.9,c
05/03/19,290,7.15,7.45,c
05/03/19,300,4.65,4.95,c
05/03/19,310,3,3.2,c
06/21/19,200,72.8,73.35,c
06/21/19,210,64.1,65.05,c
06/21/19,220,56.15,56.7,c
06/21/19,230,48.6,49.05,c
06/21/19,240,41.45,41.95,c
06/21/19,250,35.05,35.45,c
06/21/19,260,29.15,29.5,c
06/21/19,270,23.9,24.25,c
06/21/19,280,19.35,19.75,c
06/21/19,290,15.5,15.8,c
06/21/19,300,12.25,12.5,c
06/21/19,310,9.6,9.75,c
08/16/19,200,78.4,79.55,c
08/16/19,210,70.9,71.4,c
08/16/19,220,63.4,63.95,c
08/16/19,230,56.4,56.95,c
08/16/19,240,49.9,50.35,c
08/16/19,250,43.8,44.25,c
08/16/19,260,38.2,38.6,c
08/16/19,270,33.1,33.45,c
08/16/19,280,28.5,28.8,c
08/16/19,290,24.3,24.6,c
08/16/19,300,20.65,20.9,c
08/16/19,310,17.4,17.65,c
